source_id,display_name,platform,source_type,format,market_focus,author_handle,current_trust_weight,current_priority,tier,notes
macromicro,MacroMicro.me,website|gmail,newsletter,,macro|rates|inflation|geopolitics|commodities,,0.9,core,,
stockunlocked,Stock Unlocked,website|gmail,newsletter,,equities|crypto|geopolitics,,0.75,core,,
realvision,Real Vision,website|gmail|youtube,newsletter,,macro|rates|equities|commodities|crypto,,0.9,core,,
kaoboy_musings,Kaoboy Musings,substack|gmail,newsletter,,macro|commodities|rates|geopolitics,,0.85,core,,
doomberg,Doomberg,substack|gmail,newsletter,,commodities|energy|macro,,0.85,core,,
qtr_fringe,QTR's Fringe Finance,substack,newsletter,,macro|equities|contrarian,,0.7,secondary,,
bitcoin_layer,The Bitcoin Layer,substack,newsletter,,crypto|macro|rates,,0.7,secondary,,
deepvalue_capital,DeepValue Capital,substack,newsletter,,equities|value,,0.65,secondary,,
forward_guidance,Forward Guidance,podcast_rss,podcast,,macro|rates|liquidity|fx,,0.85,core,,
wolf_of_all_streets,The Wolf of All Streets,podcast_rss,podcast,,crypto|macro|equities,,0.7,core,,
real_vision_journeyman,Real Vision: The Journey Man,podcast_rss,podcast,,macro|crypto|equities,,0.8,core,,
moonshots_diamandis,Moonshots with Peter Diamandis,podcast_rss,podcast,,ai|tech|future_trends,,0.55,secondary,,
blockworks_breakdown,Blockworks: The Breakdown,gmail,newsletter,,crypto|macro,,0.7,secondary,,
weekly_wizdom,Weekly Wizdom,gmail,newsletter,,macro|equities,,0.65,secondary,,
fred,FRED Economic Data,api,api,,macro|rates|inflation|growth|labor|credit,,1.0,core,,
finnhub,Finnhub News + Sentiment,api,api,,equities|ticker_news|sentiment,,0.6,core,,
google_news_macro,Google News RSS (Macro Topics),rss,rss,,macro|headlines,,0.4,secondary,,
manual_notes,User Manual Notes,cli,manual_notes,,all,,1.0,core,,
chart_screenshots,Chart Screenshots,upload,chart,,technical,,1.0,core,,
gen,Gen,telegram|twitter,social,,macro|rates,Gen,,,,
hunter,Hunter,telegram|twitter,social,,macro|rates,Hunter,,,,
madog,MaDog,telegram|twitter,social,,macro|rates,MaDog,,,,
bigforward,BigForward,telegram|twitter,social,,macro|rates,BigForward,,,,
guijoe55,Guijoe55,telegram|twitter,social,,macro|rates,Guijoe55,,,,
maddog31,MadDog31,telegram|twitter,social,,macro|rates,MadDog31,,,,
m_artur_u,M Artur U,telegram|twitter,social,,macro|rates,M Artur U,,,,
stockunlocked_gold,StockUnlocked Gold,telegram|twitter,social,,macro|equities,StockUnlocked Gold,,,,
market_traders,Market Traders,telegram|twitter,social,,macro|rates,Market Traders,,,,
og_whales,OG Whales,telegram|twitter,social,,macro|rates,OG Whales,,,,
big_nuts,Big_Nuts,telegram|twitter,social,,energy|commodities,Big_Nuts,,,,
atlas_eq,ATLAS,twitter,social,,equities,ATLAS,,,,
ats_eq,ATS,twitter,social,,equities,ATS,,,,
richard_bl,Richard Bl...,twitter,social,,equities,,,,,partial name visible in screenshot
patt_r,Patt R...,twitter,social,,equities,,,,,partial name visible in screenshot
thomas_r,Thomas R...,twitter,social,,equities,,,,,partial name visible in screenshot
ron_eq,Ron...,twitter,social,,equities,,,,,partial name visible in screenshot
sheldon_whitehouse,Sheldon Whitehouse,twitter,social,,equities,Sheldon Whitehouse,,,,
william_c,William C...,twitter,social,,equities,,,,,partial name visible in screenshot
john_c_boozman,John C Boozman,twitter,social,,equities,John C Boozman,,,,
feather_hands,Feather Hands Trading,telegram|twitter,social,,crypto,Feather Hands Tradi...,,,,
stocktwits_agg,StockTwits,rss|api,social_agg,,equities|sentiment,,,,,
trending_options,Trending Options,rss,social_agg,,equities|options,,,,,
reddit_stocks,r/stocks,rss,social_agg,,equities,,,,,
wallstreetbets,WallStreetBets,rss,social_agg,,equities|retail,,,,,
